date,unemployment,change_radius_gyr_time,change_entropy_of_places_time,change_C,change_A,change_D
2020-03-31,1,-37.27553235067166,-47.295370652804394,-19.42427997214617,-61.66404503938855,7.886398744177825
2020-03-31,0,-24.271119623182912,-31.8005475922563,-10.277577827207171,-47.70401985855139,16.877436415592875
2020-04-01,0,-25.230016104889643,-33.45383318764677,-11.30112214644348,-48.79317541218735,29.65758973991486
2020-04-01,1,-38.2925169121949,-49.74913680044146,-20.57303738439956,-61.23655120519012,23.099089824257653
2020-04-02,0,-26.0588450937572,-35.56427850201309,-12.470170273282214,-47.861385917541654,45.496045604995864
2020-04-02,1,-38.92973686641865,-52.133822774546054,-21.557849402022132,-61.10627587354254,38.10061381016398
2020-04-03,1,-39.89341397610622,-54.55282105155953,-23.124478896949398,-63.46186803515956,48.780372445907254
2020-04-03,0,-26.714034498292417,-38.17811466579053,-13.963225416170465,-49.28329711849851,56.12293495097303
2020-04-04,0,-28.1974622071137,-41.07956037863868,-15.898074321575773,-34.31509966758829,90.75824342538812
2020-04-04,1,-40.98730071103706,-57.492929814188884,-25.37403889979863,-51.91979677905939,81.70176486303008
2020-04-05,1,-44.54965109549074,-61.9377103876034,-28.560527722269008,-50.81419952145268,133.32605720402552
2020-04-05,0,-33.1659581350185,-45.406618865188996,-18.547574080226,-37.79869018119768,124.81538583076149
2020-04-06,0,-39.402728144596736,-48.92582038166855,-20.909331461503818,-52.46740406475861,90.20006677680307
2020-04-06,1,-50.33366861082204,-65.63907518835094,-31.16276066004863,-61.77759561935994,101.15410019289634
2020-04-07,1,-51.60279410565052,-68.02377707733349,-32.82917641928089,-57.80518624758258,49.66080942479661
2020-04-07,0,-40.99529954868758,-50.83496185375922,-22.298539327595723,-41.31246739778418,47.49780719532197
2020-04-08,1,-52.58745306077106,-70.58967800892407,-34.982389922608895,-58.66096903594566,67.36404650580752
2020-04-08,0,-42.16489825216356,-52.80792913184802,-24.015024021352474,-42.65384633084297,67.88050099161163
2020-04-09,1,-54.15460857777842,-73.39542359140391,-37.665416096715944,-56.782356046706845,98.80253297802192
2020-04-09,0,-43.39866453095767,-54.858966839996704,-26.011526216786162,-40.111493551033305,89.54891553884788
2020-04-10,0,-44.45955036434195,-57.32801374345888,-28.32385348727219,-39.55335240936111,104.96370415709585
2020-04-10,1,-55.54806123284344,-75.9371480084331,-40.61182279030598,-55.73020117597749,112.81002090845564
2020-04-11,1,-56.472579137760334,-78.3003152355648,-43.34055195549477,-42.3222897892659,126.56502939898249
